PatchIndex	AzimuthIndex	AltitudeIndex	Azimuth [Deg]	Altitude [Deg]	4 'Floor' [---]	5 'Ceiling' [---]	6 'Wall Nord' [---]	7 'Wall East' [---]	8 'Wall South' [---]	9 'Wall West' [---]	16 'Surface south left' [---]	17 'Surface south right' [---]	18 'Surface south left.Window left' [---]	20 'Surface south right.Window right' [---]
0	0	0	3	3	0	1	1	1	0	0	0	0	0	0
1	1	0	9	3	0	1	1	1	0	0	0	0	0	0
2	2	0	15	3	0	1	1	1	0	0	0	0	0	0
3	3	0	21	3	0	1	1	1	0	0	0	0	0	0
4	4	0	27	3	0	1	1	1	0	0	0	0	0	0
5	5	0	33	3	0	1	1	1	0	0	0	0	0	0
6	6	0	39	3	0	1	1	1	0	0	0	0	0	0
7	7	0	45	3	0	1	1	1	0	0	0	0	0	0
8	8	0	51	3	0	1	1	1	0	0	0	0	0	0
9	9	0	57	3	0	1	1	1	0	0	0	0	0	0
10	10	0	63	3	0	1	1	1	0	0	0	0	0	0
11	11	0	69	3	0	1	1	1	0	0	0	0	0	0
12	12	0	75	3	0	1	1	1	0	0	0	0	0	0
13	13	0	81	3	0	1	1	1	0	0	0	0	0	0
14	14	0	87	3	0	1	1	1	0	0	0	0	0	0
15	15	0	93	3	0	1	0	1	0.825068	0	1	1	1	1
16	16	0	99	3	0	1	0	1	0.830988	0	1	1	1	1
17	17	0	105	3	0	1	0	1	0.870619	0	1	1	1	1
18	18	0	111	3	0	1	0	1	0.897975	0	1	1	1	1
19	19	0	117	3	0	1	0	1	0.915601	0	1	1	1	1
20	20	0	123	3	0	1	0	1	0.92753	0	1	1	1	1
21	21	0	129	3	0	1	0	1	0.935959	0	1	1	1	1
22	22	0	135	3	0	1	0	1	0.942097	0	1	1	1	1
23	23	0	141	3	0	1	0	1	0.946647	0	1	1	1	1
24	24	0	147	3	0	1	0	1	0.950039	0	1	1	1	1
25	25	0	153	3	0	1	0	1	0.952546	0	1	1	1	1
26	26	0	159	3	0	1	0	1	0.954342	0	1	1	1	1
27	27	0	165	3	0	1	0	1	0.955543	0	1	1	1	1
28	28	0	171	3	0	1	0	1	0.95622	0	1	1	1	1
29	29	0	177	3	0	1	0	1	0.95641	0	1	1	1	1
30	30	0	183	3	0	1	0	0	0.95641	1	1	1	1	1
31	31	0	189	3	0	1	0	0	0.95622	1	1	1	1	1
32	32	0	195	3	0	1	0	0	0.955543	1	1	1	1	1
33	33	0	201	3	0	1	0	0	0.954342	1	1	1	1	1
34	34	0	207	3	0	1	0	0	0.952546	1	1	1	1	1
35	35	0	213	3	0	1	0	0	0.950039	1	1	1	1	1
36	36	0	219	3	0	1	0	0	0.946647	1	1	1	1	1
37	37	0	225	3	0	1	0	0	0.942097	1	1	1	1	1
38	38	0	231	3	0	1	0	0	0.935959	1	1	1	1	1
39	39	0	237	3	0	1	0	0	0.92753	1	1	1	1	1
40	40	0	243	3	0	1	0	0	0.915601	1	1	1	1	1
41	41	0	249	3	0	1	0	0	0.897975	1	1	1	1	1
42	42	0	255	3	0	1	0	0	0.870619	1	1	1	1	1
43	43	0	261	3	0	1	0	0	0.830988	1	1	1	1	1
44	44	0	267	3	0	1	0	0	0.825068	1	1	1	1	1
45	45	0	273	3	0	1	1	0	0	1	0	0	0	0
46	46	0	279	3	0	1	1	0	0	1	0	0	0	0
47	47	0	285	3	0	1	1	0	0	1	0	0	0	0
48	48	0	291	3	0	1	1	0	0	1	0	0	0	0
49	49	0	297	3	0	1	1	0	0	1	0	0	0	0
50	50	0	303	3	0	1	1	0	0	1	0	0	0	0
51	51	0	309	3	0	1	1	0	0	1	0	0	0	0
52	52	0	315	3	0	1	1	0	0	1	0	0	0	0
53	53	0	321	3	0	1	1	0	0	1	0	0	0	0
54	54	0	327	3	0	1	1	0	0	1	0	0	0	0
55	55	0	333	3	0	1	1	0	0	1	0	0	0	0
56	56	0	339	3	0	1	1	0	0	1	0	0	0	0
57	57	0	345	3	0	1	1	0	0	1	0	0	0	0
58	58	0	351	3	0	1	1	0	0	1	0	0	0	0
59	59	0	357	3	0	1	1	0	0	1	0	0	0	0
60	0	1	3	9	0	1	1	1	0	0	0	0	0	0
61	1	1	9	9	0	1	1	1	0	0	0	0	0	0
62	2	1	15	9	0	1	1	1	0	0	0	0	0	0
63	3	1	21	9	0	1	1	1	0	0	0	0	0	0
64	4	1	27	9	0	1	1	1	0	0	0	0	0	0
65	5	1	33	9	0	1	1	1	0	0	0	0	0	0
66	6	1	39	9	0	1	1	1	0	0	0	0	0	0
67	7	1	45	9	0	1	1	1	0	0	0	0	0	0
68	8	1	51	9	0	1	1	1	0	0	0	0	0	0
69	9	1	57	9	0	1	1	1	0	0	0	0	0	0
70	10	1	63	9	0	1	1	1	0	0	0	0	0	0
71	11	1	69	9	0	1	1	1	0	0	0	0	0	0
72	12	1	75	9	0	1	1	1	0	0	0	0	0	0
73	13	1	81	9	0	1	1	1	0	0	0	0	0	0
74	14	1	87	9	0	1	1	1	0	0	0	0	0	0
75	15	1	93	9	0	1	0	1	0.613453	0	0.609939	0.959838	0.774331	0.998437
76	16	1	99	9	0	1	0	1	0.623108	0	0.626343	0.956189	0.787863	0.998085
77	17	1	105	9	0	1	0	1	0.64571	0	0.677673	0.947863	0.944247	0.997266
78	18	1	111	9	0	1	0	1	0.691666	0	1	1	1	1
79	19	1	117	9	0	1	0	1	0.744935	0	1	1	1	1
80	20	1	123	9	0	1	0	1	0.780985	0	1	1	1	1
81	21	1	129	9	0	1	0	1	0.806458	0	1	1	1	1
82	22	1	135	9	0	1	0	1	0.825008	0	1	1	1	1
83	23	1	141	9	0	1	0	1	0.83876	0	1	1	1	1
84	24	1	147	9	0	1	0	1	0.849011	0	1	1	1	1
85	25	1	153	9	0	1	0	1	0.856585	0	1	1	1	1
86	26	1	159	9	0	1	0	1	0.862015	0	1	1	1	1
87	27	1	165	9	0	1	0	1	0.865645	0	1	1	1	1
88	28	1	171	9	0	1	0	1	0.86769	0	1	1	1	1
89	29	1	177	9	0	1	0	1	0.868265	0	1	1	1	1
90	30	1	183	9	0	1	0	0	0.868265	1	1	1	1	1
91	31	1	189	9	0	1	0	0	0.86769	1	1	1	1	1
92	32	1	195	9	0	1	0	0	0.865645	1	1	1	1	1
93	33	1	201	9	0	1	0	0	0.862015	1	1	1	1	1
94	34	1	207	9	0	1	0	0	0.856585	1	1	1	1	1
95	35	1	213	9	0	1	0	0	0.849011	1	1	1	1	1
96	36	1	219	9	0	1	0	0	0.83876	1	1	1	1	1
97	37	1	225	9	0	1	0	0	0.825008	1	1	1	1	1
98	38	1	231	9	0	1	0	0	0.806458	1	1	1	1	1
99	39	1	237	9	0	1	0	0	0.780985	1	1	1	1	1
100	40	1	243	9	0	1	0	0	0.744935	1	1	1	1	1
101	41	1	249	9	0	1	0	0	0.691666	1	1	1	1	1
102	42	1	255	9	0	1	0	0	0.64571	1	0.947863	0.677673	0.997266	0.944247
103	43	1	261	9	0	1	0	0	0.623108	1	0.956189	0.626343	0.998085	0.787863
104	44	1	267	9	0	1	0	0	0.613453	1	0.959838	0.609939	0.998437	0.774331
105	45	1	273	9	0	1	1	0	0	1	0	0	0	0
106	46	1	279	9	0	1	1	0	0	1	0	0	0	0
107	47	1	285	9	0	1	1	0	0	1	0	0	0	0
108	48	1	291	9	0	1	1	0	0	1	0	0	0	0
109	49	1	297	9	0	1	1	0	0	1	0	0	0	0
110	50	1	303	9	0	1	1	0	0	1	0	0	0	0
111	51	1	309	9	0	1	1	0	0	1	0	0	0	0
112	52	1	315	9	0	1	1	0	0	1	0	0	0	0
113	53	1	321	9	0	1	1	0	0	1	0	0	0	0
114	54	1	327	9	0	1	1	0	0	1	0	0	0	0
115	55	1	333	9	0	1	1	0	0	1	0	0	0	0
116	56	1	339	9	0	1	1	0	0	1	0	0	0	0
117	57	1	345	9	0	1	1	0	0	1	0	0	0	0
118	58	1	351	9	0	1	1	0	0	1	0	0	0	0
119	59	1	357	9	0	1	1	0	0	1	0	0	0	0
120	0	2	3	15	0	1	1	1	0	0	0	0	0	0
121	1	2	9	15	0	1	1	1	0	0	0	0	0	0
122	2	2	15	15	0	1	1	1	0	0	0	0	0	0
123	3	2	21	15	0	1	1	1	0	0	0	0	0	0
124	4	2	27	15	0	1	1	1	0	0	0	0	0	0
125	5	2	33	15	0	1	1	1	0	0	0	0	0	0
126	6	2	39	15	0	1	1	1	0	0	0	0	0	0
127	7	2	45	15	0	1	1	1	0	0	0	0	0	0
128	8	2	51	15	0	1	1	1	0	0	0	0	0	0
129	9	2	57	15	0	1	1	1	0	0	0	0	0	0
130	10	2	63	15	0	1	1	1	0	0	0	0	0	0
131	11	2	69	15	0	1	1	1	0	0	0	0	0	0
132	12	2	75	15	0	1	1	1	0	0	0	0	0	0
133	13	2	81	15	0	1	1	1	0	0	0	0	0	0
134	14	2	87	15	0	1	1	1	0	0	0	0	0	0
135	15	2	93	15	0	1	0	1	0.489882	0	0.477975	0.792211	0.445021	0.940238
136	16	2	99	15	0	1	0	1	0.507206	0	0.506612	0.789328	0.467913	0.938056
137	17	2	105	15	0	1	0	1	0.547413	0	0.592759	0.783345	0.732478	0.933509
138	18	2	111	15	0	1	0	1	0.589998	0	0.65049	0.799545	0.876341	0.945364
139	19	2	117	15	0	1	0	1	0.612536	0	0.681968	0.807467	0.955123	0.97477
140	20	2	123	15	0	1	0	1	0.629477	0	1	1	1	1
141	21	2	129	15	0	1	0	1	0.672572	0	1	1	1	1
142	22	2	135	15	0	1	0	1	0.703955	0	1	1	1	1
143	23	2	141	15	0	1	0	1	0.72722	0	1	1	1	1
144	24	2	147	15	0	1	0	1	0.744562	0	1	1	1	1
145	25	2	153	15	0	1	0	1	0.757375	0	1	1	1	1
146	26	2	159	15	0	1	0	1	0.766561	0	1	1	1	1
147	27	2	165	15	0	1	0	1	0.772704	0	1	1	1	1
148	28	2	171	15	0	1	0	1	0.776163	0	1	1	1	1
149	29	2	177	15	0	1	0	1	0.777135	0	1	1	1	1
150	30	2	183	15	0	1	0	0	0.777135	1	1	1	1	1
151	31	2	189	15	0	1	0	0	0.776163	1	1	1	1	1
152	32	2	195	15	0	1	0	0	0.772704	1	1	1	1	1
153	33	2	201	15	0	1	0	0	0.766561	1	1	1	1	1
154	34	2	207	15	0	1	0	0	0.757375	1	1	1	1	1
155	35	2	213	15	0	1	0	0	0.744562	1	1	1	1	1
156	36	2	219	15	0	1	0	0	0.72722	1	1	1	1	1
157	37	2	225	15	0	1	0	0	0.703955	1	1	1	1	1
158	38	2	231	15	0	1	0	0	0.672572	1	1	1	1	1
159	39	2	237	15	0	1	0	0	0.629477	1	1	1	1	1
160	40	2	243	15	0	1	0	0	0.612536	1	0.807467	0.681968	0.97477	0.955123
161	41	2	249	15	0	1	0	0	0.589998	1	0.799545	0.65049	0.945364	0.876342
162	42	2	255	15	0	1	0	0	0.547413	1	0.783345	0.592759	0.933509	0.732478
163	43	2	261	15	0	1	0	0	0.507206	1	0.789328	0.506612	0.938056	0.467913
164	44	2	267	15	0	1	0	0	0.489882	1	0.792211	0.477975	0.940238	0.445021
165	45	2	273	15	0	1	1	0	0	1	0	0	0	0
166	46	2	279	15	0	1	1	0	0	1	0	0	0	0
167	47	2	285	15	0	1	1	0	0	1	0	0	0	0
168	48	2	291	15	0	1	1	0	0	1	0	0	0	0
169	49	2	297	15	0	1	1	0	0	1	0	0	0	0
170	50	2	303	15	0	1	1	0	0	1	0	0	0	0
171	51	2	309	15	0	1	1	0	0	1	0	0	0	0
172	52	2	315	15	0	1	1	0	0	1	0	0	0	0
