PatchIndex	AzimuthIndex	AltitudeIndex	Azimuth [Deg]	Altitude [Deg]	2 'Floor' [---]	4 'Ceiling' [---]	5 'Wall Nord' [---]	6 'Wall East' [---]	7 'Wall South' [---]	8 'Wall West' [---]	9 'Surface south left' [---]	11 'Surface south right' [---]	10 'Window left' [---]	12 'Window right' [---]
0	0	0	6	6	0	1	1	1	0	0	0	0	0	0
1	1	0	18	6	0	1	1	1	0	0	0	0	0	0
2	2	0	30	6	0	1	1	1	0	0	0	0	0	0
3	3	0	42	6	0	1	1	1	0	0	0	0	0	0
4	4	0	54	6	0	1	1	1	0	0	0	0	0	0
5	5	0	66	6	0	1	1	1	0	0	0	0	0	0
6	6	0	78	6	0	1	1	1	0	0	0	0	0	0
7	7	0	90	6	0	1	0	1	0	0	0	0	0	0
8	8	0	102	6	0	1	0	1	0.704223	0	0.715179	1	0.997639	1
9	9	0	114	6	0	1	0	1	0.814888	0	1	1	1	1
10	10	0	126	6	0	1	0	1	0.863807	0	1	1	1	1
11	11	0	138	6	0	1	0	1	0.888773	0	1	1	1	1
12	12	0	150	6	0	1	0	1	0.902512	0	1	1	1	1
13	13	0	162	6	0	1	0	1	0.909776	0	1	1	1	1
14	14	0	174	6	0	1	0	1	0.912509	0	1	1	1	1
15	15	0	186	6	0	1	0	0	0.912509	1	1	1	1	1
16	16	0	198	6	0	1	0	0	0.909776	1	1	1	1	1
17	17	0	210	6	0	1	0	0	0.902512	1	1	1	1	1
18	18	0	222	6	0	1	0	0	0.888773	1	1	1	1	1
19	19	0	234	6	0	1	0	0	0.863807	1	1	1	1	1
20	20	0	246	6	0	1	0	0	0.814888	1	1	1	1	1
21	21	0	258	6	0	1	0	0	0.704223	1	1	0.715179	1	0.997638
22	22	0	270	6	0	1	0	0	0	1	0	0	0	0
23	23	0	282	6	0	1	1	0	0	1	0	0	0	0
24	24	0	294	6	0	1	1	0	0	1	0	0	0	0
25	25	0	306	6	0	1	1	0	0	1	0	0	0	0
26	26	0	318	6	0	1	1	0	0	1	0	0	0	0
27	27	0	330	6	0	1	1	0	0	1	0	0	0	0
28	28	0	342	6	0	1	1	0	0	1	0	0	0	0
29	29	0	354	6	0	1	1	0	0	1	0	0	0	0
30	0	1	6	18	0	1	1	1	0	0	0	0	0	0
31	1	1	18	18	0	1	1	1	0	0	0	0	0	0
32	2	1	30	18	0	1	1	1	0	0	0	0	0	0
33	3	1	42	18	0	1	1	1	0	0	0	0	0	0
34	4	1	54	18	0	1	1	1	0	0	0	0	0	0
35	5	1	66	18	0	1	1	1	0	0	0	0	0	0
36	6	1	78	18	0	1	1	1	0	0	0	0	0	0
37	7	1	90	18	0	1	0	1	0	0	0	0	0	0
38	8	1	102	18	0	1	0	1	0.480854	0	0.494379	0.734506	0.46975	0.88998
39	9	1	114	18	0	1	0	1	0.573249	0	0.640134	0.760789	0.850753	0.916748
40	10	1	126	18	0	1	0	1	0.607506	0	0.689567	0.76936	0.973844	0.980915
41	11	1	138	18	0	1	0	1	0.656152	0	1	1	1	1
42	12	1	150	18	0	1	0	1	0.698628	0	1	1	1	1
43	13	1	162	18	0	1	0	1	0.721081	0	1	1	1	1
44	14	1	174	18	0	1	0	1	0.729531	0	1	1	1	1
45	15	1	186	18	0	1	0	0	0.729531	1	1	1	1	1
46	16	1	198	18	0	1	0	0	0.721081	1	1	1	1	1
47	17	1	210	18	0	1	0	0	0.698628	1	1	1	1	1
48	18	1	222	18	0	1	0	0	0.656152	1	1	1	1	1
49	19	1	234	18	0	1	0	0	0.607506	1	0.76936	0.689567	0.980915	0.973844
50	20	1	246	18	0	1	0	0	0.573249	1	0.760789	0.640134	0.916748	0.850753
