Case	BSIMAC	CSE	DeST	Energy+	ESP-r	NewHASP	TRNSYS
600 	4.050 	3.993 	4.047 	4.324 	4.362 	4.444 	4.504 
610 	4.163 	4.066 	4.144 	4.375 	4.527 	4.502 	4.592 
620 	4.370 	4.094 	4.297 	4.485 	4.514 	4.511 	4.719 
630 	4.923 	4.356 	4.677 	4.784 	5.051 	4.890 	5.139 
640 	2.682 	2.403 	2.619 	2.662 	2.654 	-1 		2.653 
650 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
660 	3.574 	3.602 	3.821 	3.707 	3.787 	3.917 	3.790 
670 	5.484 	5.300 	5.573 	5.616 	5.975 	7.109 	6.140 
680 	2.219 	1.786 	1.732 	2.180 	2.132 	1.926 	2.286 
685  	4.532 	4.574 	4.646 	4.877 	4.904 	5.059 	5.042 
695 	2.709 	2.415 	2.385 	2.802 	2.732 	2.592 	2.892 
900 	1.726 	1.379 	1.591 	1.664 	1.585 	1.594 	1.814 
910 	2.163 	1.648 	1.860 	1.956 	2.067 	1.918 	2.132 
920 	3.500 	2.956 	3.259 	3.337 	3.300 	3.153 	3.607 
930 	4.270 	3.524 	3.933 	3.994 	4.278 	4.061 	4.384 
940 	1.389 	0.863 	1.149 	1.067 	1.015 	-1 		1.169 
950 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
960  	-1 		2.522 	2.771 	2.689 	2.624 	2.708 	2.860 
980 	0.720 	0.246 	0.266 	0.411 	0.351 	0.274 	0.450 
985  	2.801 	2.120 	2.279 	2.369 	2.283 	2.871 	2.536 
995 	1.330 	0.755 	0.770 	1.006 	0.905 	1.077 	1.077 
195 	4.217 	3.990 	4.157 	4.070 	3.951 	-1 		4.094 
200  	5.041 	4.813 	5.226 	5.105 	4.920 	-1 		5.143 
210  	5.627 	5.966 	6.531 	6.047 	6.317 	-1 		6.429 
215 	5.652 	5.307 	5.697 	5.405 	5.181 	6.987 	5.443 
220 	6.377 	6.666 	7.178 	6.455 	6.726 	7.932 	6.868 
230 	9.851 	9.812 	10.417 	9.930 	9.939 	10.353 	10.234 
240  	5.116 	5.443 	5.944 	5.279 	5.539 	6.645 	5.657 
250 	4.733 	5.044 	5.373 	4.899 	4.935 	6.539 	5.105 
270 	3.957 	4.346 	4.273 	4.385 	4.576 	-1 		4.631 
280 	-1 		4.525 	4.619 	4.570 	4.738 	-1 		4.870 
290 	4.136 	4.424 	4.381 	4.424 	4.745 	-1 		4.725 
300 	4.276 	4.318 	4.460 	4.425 	4.668 	-1 		4.726 
310 	4.852 	4.580 	4.846 	4.691 	5.240 	-1 		5.163 
320 	3.357 	3.677 	3.599 	3.771 	3.970 	-1 		4.031 
395 	4.565 	4.855 	5.145 	4.641 	4.866 	5.293 	4.908 
400 	5.906 	6.536 	7.047 	6.348 	6.610 	7.783 	6.769 
410 	7.630 	8.045 	8.661 	8.080 	8.212 	8.991 	8.445 
420 	6.399 	6.834 	7.433 	6.906 	7.027 	7.712 	7.236 
430 	5.171 	5.454 	5.954 	5.620 	5.545 	6.686 	5.851 
440 	-1 		4.156 	4.330 	4.500 	4.504 	-1 		4.721 
450 	3.743 	3.990 	3.375 	3.962 	3.850 	-1 		3.871 
460  	3.828 	4.056 	3.873 	4.194 	4.263 	-1 		4.290 
470 	4.042 	3.899 	3.540 	4.094 	3.960 	-1 		4.075 
800 	5.141 	4.906 	5.403 	5.116 	4.980 	6.266 	5.369 
810 	-1 		2.038 	2.454 	2.342 	2.185 	-1 		2.610 
