Case	heating_min	heating_max	cooling_min	cooling_max	peak_heating_min	peak_heating_max	peak_cooling_min	peak_cooling_max
195	3.950900	4.217000	0.591534	0.712000	1.790699	1.802000	0.944000	1.118000
200	4.813451	5.226000	0.788444	0.839000	2.226037	2.352725	1.198000	1.307466
210	5.627000	6.531000	0.459183	0.688000	2.374000	2.749789	0.877000	1.193000
215	5.181100	6.987259	0.850468	0.976104	2.390000	3.014400	1.352101	1.574400
220	6.377000	7.932187	0.497658	0.803000	2.631000	3.163200	0.968008	1.336000
230	9.812358	10.417000	0.896638	1.184000	4.132903	4.316098	1.693556	1.994000
240	5.116000	6.645072	0.833776	1.287000	2.431000	2.976000	1.149580	1.534000
250	4.733000	6.539016	2.428421	3.612000	2.631000	3.163200	2.337600	3.034000
270	3.957000	4.631160	6.698000	7.521544	2.560000	2.843240	5.750000	7.010979
280	4.524931	4.869890	4.215000	5.205800	2.568000	2.848681	3.768000	4.765095
290	4.136000	4.744700	5.310000	5.742534	2.561000	2.843406	5.597000	6.872151
300	4.276000	4.725630	4.805000	5.435000	2.589000	2.853648	3.695000	4.475487
310	4.580347	5.239600	3.127900	3.867000	2.580068	2.856311	3.252000	3.969547
320	3.357000	4.031130	4.420000	4.985959	2.546000	2.833517	5.185000	6.473260
395	4.565000	5.293243	0.003516	0.021000	1.948000	2.161342	0.265203	0.547000
400	5.906000	7.783426	0.012683	0.063000	2.559000	3.163200	0.371985	0.798000
410	7.630000	8.990698	0.035120	0.096000	3.338000	3.676800	0.603683	1.011000
420	6.399000	7.711709	0.109436	0.228000	3.138000	3.489600	0.814075	1.208000
430	5.171000	6.685766	0.620390	1.084000	3.253884	3.489600	1.689600	2.167000
440	4.155940	4.720680	3.458000	4.414100	3.027206	3.374292	3.766000	4.686012
450	3.375000	3.990439	5.688977	6.613200	2.753000	3.099819	5.812000	6.501000
460	3.828000	4.289770	5.929000	6.729100	2.971353	3.159670	5.804000	6.374168
470	3.540000	4.093864	5.643893	6.055890	2.807000	3.231492	5.570000	6.443639
600	3.992755	4.503550	5.432000	6.976214	3.020233	3.358893	5.422000	6.835200
610	4.066423	4.592060	4.116800	4.854538	3.020759	3.359502	5.331000	6.489600
620	4.093598	4.718980	3.840650	4.817314	3.037860	3.384592	3.955000	4.900800
630	4.355946	5.138580	2.572870	3.074000	3.039372	3.387554	3.526000	4.212174
640	2.403242	2.682000	5.237000	5.892600	4.038541	4.658000	5.365000	6.428988
650	0.000000	0.000000	4.186000	5.545075	0.000000	0.000000	5.045000	6.571200
660	3.574000	3.916810	2.966250	3.641256	2.620000	2.955183	3.343000	3.933001
670	5.300178	7.109126	5.954000	6.622703	3.655419	4.488000	5.839000	6.925312
680	1.732000	2.286260	5.932000	7.652995	1.777641	2.126000	5.761000	7.291200
685	4.532000	5.059291	8.238000	9.919776	3.031857	3.374427	6.071000	7.459200
695	2.385000	2.891740	8.386000	10.126306	1.795326	2.138000	6.232000	7.723200
800	4.905683	6.265656	0.183509	0.473000	2.777638	3.096000	0.935590	1.286000
810	2.037514	2.609750	1.294520	1.605600	2.500136	2.844655	1.940000	2.410488
900	1.378891	1.814030	2.267130	3.345562	2.443390	2.778478	2.556000	3.768000
910	1.647682	2.163000	1.190860	1.748174	2.469025	2.799195	2.081035	2.764800
920	2.956069	3.606700	2.548870	3.257059	2.512426	2.895000	2.710000	3.672000
930	3.523647	4.384100	1.653800	2.161000	2.536968	2.968000	2.335000	3.052000
940	0.863236	1.389000	2.203460	2.613000	3.051914	3.882000	2.556000	3.376435
950	0.000000	0.000000	0.586000	0.900480	0.000000	0.000000	2.054000	2.928000
960	2.522072	2.859540	0.788958	0.955762	2.085000	2.300402	1.338487	1.479919
980	0.245766	0.720000	3.501000	5.207938	1.253790	1.693000	2.930000	4.228800
985	2.120210	2.870693	5.880000	7.759090	2.452163	2.785441	3.208000	4.531200
995	0.755182	1.330000	6.771000	8.610787	1.369555	1.711000	3.315000	4.924800
