Month	Case600_heating_min	Case600_heating_max	Case600_cooling_min	Case600_cooling_max	Case900_heating_min	Case900_heating_max	Case900_cooling_min	Case900_cooling_max
Jan	655.6	734.9	417.9	580.9	206.1	291.9	33.5	100.1
Feb	626.3	702.1	315.4	450.4	243.2	322.1	4.7	42.5
Mar	433.5	495.0	410.7	594.4	102.4	143.8	40.9	144.1
Apr	448.0	517.3	218.7	343.7	214.2	275.7	12.3	71.2
May	112.8	150.7	321.2	461.1	20.1	37.5	98.4	210.7
Jun	2.7	16.0	497.4	636.0	0.0	0.0	365.8	512.9
Jul	4.8	16.7	505.9	635.0	0.0	0.0	365.5	510.7
Aug	1.4	9.8	606.5	739.8	0.0	0.0	485.7	620.9
Sep	51.8	89.1	672.1	796.7	0.0	2.1	458.9	573.9
Oct	317.0	370.1	611.1	729.5	63.6	85.0	260.9	358.6
Nov	575.6	647.9	377.1	480.9	251.6	318.2	56.2	104.1
Dec	682.0	763.5	386.2	527.7	254.7	339.4	38.1	95.9
