Case	Metrik	NANDRAD	EnergyPlus	TRNSYS	Ref Min	Ref Max	Status
600	Heizenergie Jan [kWh]	676.05	835.44	734.94	655.6	734.9	PASS
600	Heizenergie Feb [kWh]	655.92	741.47	702.08	626.3	702.1	PASS
600	Heizenergie Mar [kWh]	458.71	329.1	495.0	433.5	495.0	PASS
600	Heizenergie Apr [kWh]	499.27	340.4	517.29	448.0	517.3	PASS
600	Heizenergie May [kWh]	132.05	32.67	150.73	112.8	150.7	PASS
600	Heizenergie Jun [kWh]	7.68	0.0	15.95	2.7	16.0	PASS
600	Heizenergie Jul [kWh]	9.3	0.0	16.73	4.8	16.7	PASS
600	Heizenergie Aug [kWh]	5.14	0.0	9.6	1.4	9.8	PASS
600	Heizenergie Sep [kWh]	69.97	2.16	84.82	51.8	89.1	PASS
600	Heizenergie Oct [kWh]	337.41	195.35	367.05	317.0	370.1	PASS
600	Heizenergie Nov [kWh]	598.96	679.05	645.81	575.6	647.9	PASS
600	Heizenergie Dec [kWh]	693.73	830.44	754.28	682.0	763.5	PASS
600	Kühlenergie Jan [kWh]	529.34	0.0	495.01	417.9	580.9	PASS
600	Kühlenergie Feb [kWh]	396.22	0.0	367.4	315.4	450.4	PASS
600	Kühlenergie Mar [kWh]	490.84	0.0	457.38	410.7	594.4	PASS
600	Kühlenergie Apr [kWh]	237.77	0.74	235.36	218.7	343.7	PASS
600	Kühlenergie May [kWh]	309.12	143.29	325.15	321.2	461.1	FAIL
600	Kühlenergie Jun [kWh]	498.9	545.28	516.06	497.4	636.0	PASS
600	Kühlenergie Jul [kWh]	488.76	509.98	514.39	505.9	635.0	FAIL
600	Kühlenergie Aug [kWh]	617.19	460.48	634.14	606.5	739.8	PASS
600	Kühlenergie Sep [kWh]	717.91	247.22	710.47	672.1	796.7	PASS
600	Kühlenergie Oct [kWh]	675.61	12.13	649.48	611.1	729.5	PASS
600	Kühlenergie Nov [kWh]	452.5	0.0	418.57	377.1	480.9	PASS
600	Kühlenergie Dec [kWh]	492.85	0.0	456.1	386.2	527.7	PASS
600	Jährliche Heizenergie [MWh]	4.1442	3.9861	4.4943	3.992755	4.50355	PASS
600	Jährliche Kühlenergie [MWh]	5.907	1.9191	5.7795	5.432	6.976214	PASS
600	Spitzenheizlast [kW]	2.9415	2.7849	3.3589	3.020233	3.358893	FAIL
600	Spitzenkühllast [kW]	6.0889	2.7815	6.0457	5.422	6.8352	PASS
600FF	Max. Lufttemperatur [°C]	64.72	27.0	62.37	62.369162	68.36078	PASS
